WKT,nama,deskripsi
"POLYGON ((106.8232159 -6.1717994, 106.8232457 -6.1720352, 106.8232243 -6.1724672, 106.8231867 -6.1738965, 106.823058 -6.1786058, 106.8230312 -6.1795871, 106.8230473 -6.1798111, 106.823117 -6.1799124, 106.8233048 -6.1801471, 106.8235086 -6.1802858, 106.8238626 -6.1803871, 106.8241416 -6.1803711, 106.8247907 -6.1803604, 106.825928 -6.1803338, 106.8271779 -6.1802858, 106.8281864 -6.1802378, 106.8302195 -6.1801471, 106.830992 -6.1801258, 106.8310349 -6.1800618, 106.8310617 -6.1798858, 106.8310402 -6.1796244, 106.8309276 -6.1793844, 106.8308496 -6.179278, 106.8307502 -6.1791769, 106.830538 -6.1789748, 106.830481 -6.1789214, 106.8304549 -6.1788818, 106.8304488 -6.1788378, 106.8304522 -6.1788048, 106.8304589 -6.1787725, 106.8304767 -6.1787222, 106.8304958 -6.1786961, 106.830474 -6.1786434, 106.8306456 -6.1784834, 106.8304954 -6.178314, 106.829898 -6.1777494, 106.8299261 -6.1758274, 106.8299844 -6.1758247, 106.8300019 -6.1752887, 106.8300448 -6.1752247, 106.8299938 -6.1746287, 106.8300086 -6.1745847, 106.8300287 -6.1745261, 106.8298087 -6.1734234, 106.8294896 -6.1733194, 106.8293125 -6.1732167, 106.829224 -6.1731381, 106.8291047 -6.1729821, 106.8290846 -6.1729314, 106.8290792 -6.1728914, 106.8290792 -6.1728141, 106.8290939 -6.1727181, 106.8292495 -6.1719567, 106.8292508 -6.1718581, 106.8292374 -6.1717994, 106.8292133 -6.1717567, 106.8291529 -6.1716741, 106.8290819 -6.1716101, 106.8290282 -6.1715714, 106.828929 -6.1715367, 106.8247742 -6.1714927, 106.8242847 -6.1714914, 106.823932 -6.1714874, 106.823645 -6.1714994, 106.8235672 -6.1714927, 106.8234291 -6.1715647, 106.8232159 -6.1717994))",Taman Monas,
"POLYGON ((106.7984191 -6.2206242, 106.8030969 -6.2225227, 106.8047921 -6.2246238, 106.8087403 -6.2218934, 106.808295 -6.2213121, 106.8083004 -6.2157286, 106.8068842 -6.2157713, 106.8068627 -6.2157073, 106.8062136 -6.2156753, 106.8061774 -6.2156666, 106.8061788 -6.2156379, 106.8061754 -6.2156173, 106.80616 -6.2156079, 106.8061379 -6.215422, 106.8061385 -6.2145287, 106.8062767 -6.21453, 106.8062767 -6.214508, 106.8062223 -6.2145087, 106.806223 -6.2143287, 106.8062995 -6.2143281, 106.8063021 -6.2138221, 106.8062418 -6.2135955, 106.806142 -6.2127858, 106.7983716 -6.2145724, 106.7981893 -6.2148497, 106.7982751 -6.2160016, 106.7983824 -6.2173775, 106.7983824 -6.2181454, 106.798318 -6.219084, 106.7983287 -6.2199906, 106.7984191 -6.2206242))",Gelora Bung Karno,
"POLYGON ((106.8247058 -6.3177263, 106.8253586 -6.3140438, 106.8255464 -6.3128654, 106.8257502 -6.3113458, 106.8257878 -6.3112712, 106.8258897 -6.3112285, 106.8261257 -6.3112872, 106.8263725 -6.3113885, 106.8264905 -6.3113885, 106.8265871 -6.3113192, 106.826866 -6.3101302, 106.8269357 -6.3096823, 106.8269679 -6.3091438, 106.8270323 -6.3086639, 106.8268177 -6.3087065, 106.8249348 -6.3085572, 106.824629 -6.3084933, 106.8245539 -6.3084293, 106.82457 -6.3083013, 106.8244842 -6.3082746, 106.8245915 -6.3068404, 106.8245915 -6.3063871, 106.8233255 -6.3064245, 106.8231324 -6.3063818, 106.8228749 -6.3064511, 106.8227461 -6.3065418, 106.8226174 -6.3066484, 106.822376 -6.3066751, 106.8216518 -6.3066217, 106.8206004 -6.3065044, 106.8205467 -6.3064511, 106.8205896 -6.3060992, 106.8205253 -6.305822, 106.8204287 -6.305806, 106.8198279 -6.3057473, 106.8188355 -6.305598, 106.8184423 -6.3052929, 106.8162644 -6.3050423, 106.8161893 -6.3050956, 106.8162268 -6.3055062, 106.8162483 -6.3058367, 106.8169349 -6.3069298, 106.8169564 -6.3070151, 106.8169242 -6.3071964, 106.8167043 -6.3077456, 106.8165594 -6.3079109, 106.8163985 -6.3079855, 106.8161517 -6.3080015, 106.8159908 -6.3081028, 106.8159103 -6.3083534, 106.8158138 -6.3086893, 106.8158191 -6.3090306, 106.8158138 -6.3092172, 106.8157226 -6.3095318, 106.8157816 -6.3098517, 106.8158406 -6.310033, 106.8160552 -6.3102623, 106.8160981 -6.3105662, 106.8166506 -6.3105928, 106.8174446 -6.3104222, 106.8175948 -6.3102516, 106.8177021 -6.311254, 106.8175518 -6.3124057, 106.8177879 -6.3147304, 106.8171871 -6.3150716, 106.8163931 -6.3151143, 106.8163931 -6.31601, 106.8166935 -6.3161593, 106.8172085 -6.3161593, 106.8175304 -6.316202, 106.8180454 -6.3161167, 106.8183887 -6.3163086, 106.8187749 -6.3163939, 106.8190324 -6.3166712, 106.8192899 -6.3169911, 106.8190324 -6.3172257, 106.8201268 -6.3173323, 106.8204942 -6.3173829, 106.8207973 -6.3174656, 106.8223798 -6.317439, 106.8233454 -6.317375, 106.8236887 -6.3174176, 106.8236458 -6.3177802, 106.8247058 -6.3177263))",Kebun Binatang Ragunan,
"POLYGON ((106.8893899 -6.3014878, 106.8894221 -6.3026982, 106.8903072 -6.3026982, 106.8904145 -6.3027035, 106.8904735 -6.3025915, 106.8904735 -6.3024902, 106.8904199 -6.3024262, 106.8903394 -6.3022449, 106.8903233 -6.3021223, 106.8903072 -6.301845, 106.890393 -6.3016904, 106.8905003 -6.3016638, 106.8904842 -6.3015518, 106.8903823 -6.3014558, 106.8902106 -6.3014931, 106.8898351 -6.3014771, 106.8893899 -6.3014878))",Taman Mini Indonesia Indah,
"POLYGON ((106.8509258 -6.2328783, 106.8507702 -6.2331423, 106.8507005 -6.2335289, 106.8507005 -6.2337209, 106.8507434 -6.2340195, 106.8507756 -6.2341475, 106.8508749 -6.2344034, 106.8510116 -6.2345314, 106.8514408 -6.2348194, 106.8519129 -6.2350754, 106.8522991 -6.2353207, 106.8526424 -6.2357046, 106.8527497 -6.2360779, 106.8527283 -6.2365152, 106.8525781 -6.2369205, 106.8517627 -6.2398428, 106.8527274 -6.2420525, 106.8527382 -6.2421164, 106.8539291 -6.2420525, 106.8532961 -6.2412206, 106.8530815 -6.2408366, 106.8529903 -6.2403673, 106.8529527 -6.2400527, 106.852942 -6.2395248, 106.8530439 -6.2390662, 106.8531995 -6.2385649, 106.8535214 -6.2373811, 106.8536126 -6.2368158, 106.8535053 -6.2357386, 106.8532625 -6.2347177, 106.8528709 -6.2347977, 106.8528011 -6.234659, 106.8527689 -6.2343497, 106.8525758 -6.2335125, 106.8521145 -6.2335125, 106.8517604 -6.2335125, 106.8516934 -6.2335472, 106.8513608 -6.2335365, 106.8513125 -6.2335098, 106.8512884 -6.2334538, 106.8512642 -6.2333258, 106.8512964 -6.2330379, 106.8510416 -6.2329099, 106.8509289 -6.2328299, 106.8509258 -6.2328783))",Tebet Echo Park,
